TEAM_NAME,COUNTRY,HOME_STADIUM
AC Milan,Italy,Giuseppe Meazza
AFC Ajax,Netherlands,Johan Cruijff ArenA
Atalanta,Italy,Gewiss Stadium
Atlético Madrid,Spain,Wanda Metropolitano
Bayern München,Germany,Allianz Arena
Beşiktaş,Turkey,Vodafone Park
Borussia Dortmund,Germany,Signal Iduna Park
BSC Young Boys,Switzerland,Stadion Wankdorf
Chelsea FC,England,Stamford Bridge
Club Brugge KV,Belgium,Jan Breydel Stadion
Dinamo Kiev,Ukraine,Olimpiyskyi
FC Barcelona,Spain,Spotify Camp Nou
FC Porto,Portugal,Estádio do Dragão
FC Sheriff,Moldova,Sheriff Stadium
Inter,Italy,Giuseppe Meazza
Juventus,Italy,Allianz Stadium
Lille OSC,France,Stade Pierre Mauroy
Liverpool FC,England,Anfield
Malmö FF,Sweden,Nya Malmö Stadion
Manchester City,England,Etihad Stadium
Manchester United,England,Old Trafford
Paris Saint-Germain,France,Parc des Princes
RB Leipzig,Germany,Red Bull Arena
RB Salzburg,Austria,Red Bull Arena
Real Madrid,Spain,Santiago Bernabéu
Sevilla FC,Spain,Ramón Sánchez Pizjuán
Shakhtar Donetsk,Ukraine,Donbass Arena
SL Benfica,Portugal,Estádio da Luz
Sporting CP,Portugal,Estádio José Alvalade
VfL Wolfsburg,Germany,Volkswagen Arena
Villarreal CF,Spain,Estadio de la Cerámica
Zenit St. Petersburg,Russia,Gazprom Arena
Bor. Mönchengladbach,Germany,Borussia-Park
FC Midtjylland,Denmark,MCH Arena
Ferencvárosi TC,Hungary,Groupama Aréna
FK Krasnodar,Russia,Krasnodar Stadium
İstanbul Başakşehir,Turkey,Fatih Terim Stadium
Lazio Roma,Italy,Olimpico
Lokomotiv Moskva,Russia,RŽD-Arena
Olympiakos Piraeus,Greece,Georgios Karaiskakis
Olympique Marseille,France,Vélodrome
Stade Rennes,France,Roazhon Park
Bayer Leverkusen,Germany,BayArena
Crvena Zvezda,Serbia,Marakana
Dinamo Zagreb,Croatia,Maksimir
Galatasaray,Turkey,Nef Stadyumu
KRC Genk,Belgium,Cegeka Arena
Olympique Lyon,France,Groupama Stadium
Slavia Praha,Czech Republic,Sinobo Stadium
SSC Napoli,Italy,Diego Maradona
Tottenham Hotspur,England,Tottenham Hotspur Stadium
Valencia CF,Spain,Estadio de Mestalla
1899 Hoffenheim,Germany,PreZero Arena
AEK Athen,Greece,Agia Sophia Stadium
AS Monaco,France,Stade Louis II
AS Roma,Italy,Olimpico
CSKA Moskva,Russia,VEB Arena
FC Schalke 04,Germany,Veltins-Arena
PSV Eindhoven,Netherlands,Philips Stadion
Viktoria Plzeň,Czech Republic,Doosan Arena
APOEL Nikosia,Cyprus,Neo GSP Stadium
Celtic FC,Scotland,Celtic Park
FC Basel,Switzerland,St. Jakob-Park
Feyenoord,Netherlands,De Kuip
NK Maribor,Slovenia,Ljudski vrt
Qarabağ FK,Azerbaijan,Qarabağ Stadium
RSC Anderlecht,Belgium,Lotto Park
Spartak Moskva,Russia,Otkrytie Arena
Arsenal FC,England,Emirates Stadium
FC København,Denmark,Telia Parken
FK Rostov,Russia,Rostov Arena
Legia Warszawa,Poland,Stadion Wojska Polskiego
Leicester City,England,King Power Stadium
PFC Ludogorets Razgrad,Bulgaria,Huvepharma Arena
